epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1411.56,0.48576,0.35265,0.90968,0.94811,0.93235,0.97122,0.8457,0.45565,0.34577,0.88546,0.0264113,0.00880375,0.0264113,0.00880375,0.0264113,0.00880375,0.0264113,0.00880375
31,1457.77,0.48652,0.35104,0.91035,0.95763,0.93113,0.9719,0.85208,0.46708,0.34807,0.88714,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
32,1503.68,0.47715,0.34715,0.90593,0.95235,0.94173,0.97166,0.85666,0.43564,0.32287,0.8834,0.0261637,0.00872125,0.0261637,0.00872125,0.0261637,0.00872125,0.0261637,0.00872125
33,1548.96,0.47431,0.34346,0.90577,0.95518,0.93367,0.97169,0.85175,0.46296,0.33635,0.89638,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
34,1594.45,0.47066,0.34204,0.90447,0.9558,0.93734,0.97126,0.85006,0.44686,0.32551,0.88837,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
35,1640.15,0.47074,0.34189,0.90288,0.96014,0.94225,0.97416,0.86178,0.43723,0.33548,0.87506,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
36,1686.85,0.47083,0.33772,0.90233,0.94871,0.94888,0.97421,0.86365,0.43661,0.33579,0.87563,0.0256687,0.00855625,0.0256687,0.00855625,0.0256687,0.00855625,0.0256687,0.00855625
37,1735.24,0.46494,0.33529,0.90089,0.95866,0.93971,0.97437,0.8612,0.4317,0.32142,0.87686,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
38,1783.86,0.46424,0.33495,0.90097,0.95676,0.93827,0.97286,0.86866,0.42367,0.32034,0.88293,0.0254212,0.00847375,0.0254212,0.00847375,0.0254212,0.00847375,0.0254212,0.00847375
39,1831.99,0.46078,0.33236,0.89979,0.95812,0.9363,0.97378,0.86169,0.44715,0.32235,0.88514,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
40,1879.81,0.4566,0.33139,0.90056,0.95336,0.93331,0.97054,0.85281,0.45462,0.34726,0.88186,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
41,1927.71,0.45544,0.32719,0.8991,0.94937,0.93797,0.97177,0.85277,0.44234,0.32604,0.88628,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
42,1975.51,0.45758,0.32819,0.89746,0.95746,0.94562,0.97839,0.86575,0.42949,0.30752,0.8854,0.0249262,0.00830875,0.0249262,0.00830875,0.0249262,0.00830875,0.0249262,0.00830875
43,2023.63,0.4518,0.32316,0.89653,0.95706,0.93914,0.97306,0.86146,0.43518,0.32681,0.87422,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
44,2072.05,0.45135,0.32467,0.89367,0.95393,0.94775,0.97572,0.86966,0.41696,0.30252,0.85997,0.0246787,0.00822625,0.0246787,0.00822625,0.0246787,0.00822625,0.0246787,0.00822625
45,2120.51,0.44801,0.32104,0.89355,0.96254,0.924,0.97277,0.86077,0.42392,0.30961,0.87105,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
46,2167.38,0.44718,0.32059,0.89198,0.95924,0.94027,0.97413,0.86628,0.41768,0.30862,0.87083,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
