epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
25,2795.65,0.04168,0.99376,1,0.02031,0.0007624,0.0007624,0.0007624
26,2905.06,0.05176,0.99465,1,0.02491,0.0007525,0.0007525,0.0007525
27,3014.03,0.0438,0.99376,1,0.01652,0.0007426,0.0007426,0.0007426
28,3122.92,0.04793,0.99286,1,0.0291,0.0007327,0.0007327,0.0007327
29,3233,0.04717,0.99286,1,0.0218,0.0007228,0.0007228,0.0007228
30,3339.53,0.04517,0.99554,1,0.01258,0.0007129,0.0007129,0.0007129
31,3446.56,0.03783,0.99376,1,0.01786,0.000703,0.000703,0.000703
32,3553.77,0.04664,0.99465,1,0.01353,0.0006931,0.0006931,0.0006931
33,3658.92,0.03949,0.99732,1,0.01113,0.0006832,0.0006832,0.0006832
34,3766.52,0.04612,0.99465,1,0.02173,0.0006733,0.0006733,0.0006733
35,3874.99,0.04549,0.99197,1,0.02706,0.0006634,0.0006634,0.0006634
36,3982.9,0.04032,0.99554,1,0.01477,0.0006535,0.0006535,0.0006535
37,4091.46,0.03939,0.99376,1,0.02204,0.0006436,0.0006436,0.0006436
38,4199.57,0.03394,0.99732,1,0.01429,0.0006337,0.0006337,0.0006337
39,4306.04,0.03653,0.99197,1,0.02534,0.0006238,0.0006238,0.0006238
40,4413.04,0.03391,0.99376,1,0.01928,0.0006139,0.0006139,0.0006139
41,4521.77,0.05141,0.99643,1,0.01731,0.000604,0.000604,0.000604
42,4629.96,0.03946,0.99465,1,0.01883,0.0005941,0.0005941,0.0005941
43,4737.85,0.03567,0.99732,1,0.01131,0.0005842,0.0005842,0.0005842
44,4845.2,0.03729,0.99822,1,0.00898,0.0005743,0.0005743,0.0005743
45,4952.85,0.03966,0.99643,1,0.01481,0.0005644,0.0005644,0.0005644
46,5060.79,0.03183,0.99554,1,0.02224,0.0005545,0.0005545,0.0005545
47,5170.18,0.04184,0.99643,1,0.01425,0.0005446,0.0005446,0.0005446
48,5278.8,0.04062,0.99643,1,0.01729,0.0005347,0.0005347,0.0005347
49,5385.24,0.03953,0.99732,1,0.01383,0.0005248,0.0005248,0.0005248
50,5489.83,0.03058,0.99554,1,0.01756,0.0005149,0.0005149,0.0005149
51,5595.21,0.03899,0.99732,1,0.01107,0.000505,0.000505,0.000505
52,5701.36,0.03917,0.99643,1,0.01586,0.0004951,0.0004951,0.0004951
53,5807,0.03654,0.99732,1,0.0118,0.0004852,0.0004852,0.0004852
54,5914.8,0.0353,0.99732,1,0.01099,0.0004753,0.0004753,0.0004753
55,6023.37,0.03566,0.99643,1,0.01383,0.0004654,0.0004654,0.0004654
56,6130.98,0.03429,0.99643,1,0.01448,0.0004555,0.0004555,0.0004555
57,6239.54,0.03698,0.99643,1,0.01086,0.0004456,0.0004456,0.0004456
58,6347.89,0.03789,0.99732,1,0.01237,0.0004357,0.0004357,0.0004357
59,6456.6,0.03608,0.99643,1,0.01229,0.0004258,0.0004258,0.0004258
60,6564.19,0.03376,0.99554,1,0.01927,0.0004159,0.0004159,0.0004159
61,6671.88,0.04054,0.99376,1,0.01713,0.000406,0.000406,0.000406
62,6779.17,0.03091,0.99643,1,0.01346,0.0003961,0.0003961,0.0003961
63,6886.97,0.0342,0.99554,1,0.02196,0.0003862,0.0003862,0.0003862
64,6993.94,0.03673,0.99376,1,0.01633,0.0003763,0.0003763,0.0003763
65,7101.81,0.04203,0.99465,1,0.02249,0.0003664,0.0003664,0.0003664
66,7209.42,0.0326,0.99554,1,0.01743,0.0003565,0.0003565,0.0003565
67,7318.74,0.0361,0.99376,1,0.01924,0.0003466,0.0003466,0.0003466
68,7428.2,0.03599,0.99732,1,0.01143,0.0003367,0.0003367,0.0003367
69,7535.6,0.03483,0.99732,1,0.01252,0.0003268,0.0003268,0.0003268
70,7642,0.03396,0.99643,1,0.01327,0.0003169,0.0003169,0.0003169
71,7749.22,0.02715,0.99643,1,0.01229,0.000307,0.000307,0.000307
72,7857.3,0.02518,0.99732,1,0.01934,0.0002971,0.0002971,0.0002971
73,7966.19,0.03499,0.99732,1,0.01173,0.0002872,0.0002872,0.0002872
74,8073.83,0.03388,0.99643,1,0.01484,0.0002773,0.0002773,0.0002773
75,8181.95,0.02734,0.99643,1,0.01359,0.0002674,0.0002674,0.0002674
76,8289.65,0.03216,0.99732,1,0.01157,0.0002575,0.0002575,0.0002575
77,8398.52,0.03098,0.99643,1,0.01325,0.0002476,0.0002476,0.0002476
78,8508.27,0.03158,0.99643,1,0.01529,0.0002377,0.0002377,0.0002377
79,8616.02,0.0279,0.99643,1,0.01294,0.0002278,0.0002278,0.0002278
80,8724.41,0.02965,0.99643,1,0.0125,0.0002179,0.0002179,0.0002179
81,8832.31,0.03377,0.99732,1,0.01049,0.000208,0.000208,0.000208
82,8939.8,0.03399,0.99822,1,0.01149,0.0001981,0.0001981,0.0001981
83,9047.46,0.0278,0.99732,1,0.01196,0.0001882,0.0001882,0.0001882
84,9152.91,0.02942,0.99643,1,0.01552,0.0001783,0.0001783,0.0001783
85,9260.19,0.03072,0.99643,1,0.01328,0.0001684,0.0001684,0.0001684
86,9366.53,0.03049,0.99376,1,0.01783,0.0001585,0.0001585,0.0001585
87,9472.53,0.03144,0.99643,1,0.01456,0.0001486,0.0001486,0.0001486
88,9578.69,0.02923,0.99376,1,0.02244,0.0001387,0.0001387,0.0001387
89,9687.12,0.02542,0.99465,1,0.01813,0.0001288,0.0001288,0.0001288
90,9793.91,0.02691,0.99465,1,0.01719,0.0001189,0.0001189,0.0001189
91,9906.29,0.02388,0.99643,1,0.01382,0.000109,0.000109,0.000109
92,10015.6,0.03012,0.99643,1,0.01457,9.91e-05,9.91e-05,9.91e-05
93,10125.5,0.02455,0.99554,1,0.01991,8.92e-05,8.92e-05,8.92e-05
94,10232.4,0.02659,0.99465,1,0.0227,7.93e-05,7.93e-05,7.93e-05
95,10339.4,0.0269,0.99643,1,0.01718,6.94e-05,6.94e-05,6.94e-05
96,10447.8,0.02542,0.99554,1,0.01719,5.95e-05,5.95e-05,5.95e-05
97,10556.2,0.02789,0.99643,1,0.01475,4.96e-05,4.96e-05,4.96e-05
98,10665.4,0.02544,0.99643,1,0.01397,3.97e-05,3.97e-05,3.97e-05
99,10775.2,0.02325,0.99643,1,0.01384,2.98e-05,2.98e-05,2.98e-05
100,10876.5,0.02907,0.99643,1,0.01472,1.99e-05,1.99e-05,1.99e-05
