epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1206.46,0.48103,0.34634,0.89071,0.96666,0.92955,0.97285,0.84558,0.44951,0.31677,0.87082,0.000996313,0.000996313,0.000996313
43,1235.57,0.47241,0.34879,0.88637,0.95666,0.94203,0.9747,0.84484,0.44855,0.3115,0.87317,0.000990125,0.000990125,0.000990125
44,1262.54,0.4779,0.34425,0.88683,0.95326,0.94253,0.9713,0.8377,0.46493,0.32052,0.87271,0.000983938,0.000983938,0.000983938
45,1289.81,0.47482,0.34575,0.88674,0.9523,0.94177,0.97334,0.84284,0.44294,0.31176,0.87371,0.00097775,0.00097775,0.00097775
46,1318.88,0.4759,0.34738,0.8878,0.96066,0.93341,0.97173,0.83802,0.46263,0.31581,0.86954,0.000971562,0.000971562,0.000971562
47,1346.55,0.47644,0.34546,0.8856,0.94737,0.94683,0.97489,0.84346,0.43553,0.30036,0.86234,0.000965375,0.000965375,0.000965375
48,1375.11,0.47295,0.34366,0.8851,0.9554,0.93776,0.97478,0.84925,0.44806,0.30763,0.87135,0.000959187,0.000959187,0.000959187
49,1403.72,0.47218,0.33635,0.8826,0.94696,0.94259,0.97282,0.84291,0.45675,0.30707,0.88149,0.000953,0.000953,0.000953
50,1430.97,0.46189,0.32992,0.88208,0.94773,0.93705,0.97064,0.84382,0.44713,0.31598,0.86252,0.000946812,0.000946812,0.000946812
51,1458.4,0.46692,0.33882,0.88861,0.9591,0.93546,0.97261,0.85055,0.44821,0.31071,0.86688,0.000940625,0.000940625,0.000940625
52,1485.5,0.45986,0.33059,0.88228,0.9488,0.94738,0.97409,0.85207,0.44231,0.29548,0.87884,0.000934438,0.000934438,0.000934438
53,1513.5,0.46637,0.33519,0.88531,0.95341,0.94569,0.9748,0.85042,0.45267,0.30169,0.87619,0.00092825,0.00092825,0.00092825
54,1542.12,0.46986,0.34054,0.88538,0.96381,0.9402,0.97439,0.84979,0.44557,0.29514,0.87419,0.000922063,0.000922063,0.000922063
55,1570.22,0.45797,0.32738,0.88163,0.95231,0.94282,0.9736,0.84702,0.4509,0.29843,0.87482,0.000915875,0.000915875,0.000915875
56,1597.29,0.46204,0.32874,0.88344,0.95429,0.93925,0.97117,0.84756,0.45157,0.3038,0.87482,0.000909688,0.000909688,0.000909688
57,1625.01,0.46132,0.32956,0.88227,0.9536,0.93892,0.9744,0.84454,0.45684,0.31759,0.8769,0.0009035,0.0009035,0.0009035
58,1651.42,0.45882,0.32642,0.88058,0.96052,0.93346,0.97366,0.85276,0.43529,0.29503,0.86453,0.000897313,0.000897313,0.000897313
59,1680.04,0.45089,0.32142,0.88039,0.94912,0.94297,0.97552,0.85373,0.43257,0.30253,0.87779,0.000891125,0.000891125,0.000891125
60,1707.76,0.45366,0.32593,0.87861,0.95071,0.93854,0.97426,0.85252,0.43421,0.30075,0.86319,0.000884938,0.000884938,0.000884938
61,1736.46,0.45205,0.32309,0.87616,0.95348,0.93731,0.97164,0.852,0.43507,0.30144,0.88101,0.00087875,0.00087875,0.00087875
62,1764.72,0.44967,0.32083,0.87701,0.95972,0.9437,0.97555,0.85644,0.42487,0.28746,0.88167,0.000872563,0.000872563,0.000872563
